"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"1014","Only the Brave","Sony Pictures",2499,-44,26,96,18340051,101,2018-01-28
"1015","Only Yesterday","GKIDS",224,NA,1,224,57044,35,2016-02-04
"1016","Operation Finale","MGM",725891,-27,1818,399,1727095,2,2018-08-30
"1017","Other People","Self Distributed",84,-13,2,42,91441,35,2016-10-13
"1018","Ouija","Universal",7485,-2,250,30,50856010,56,2014-12-18
"1019","Ouija: Origin of Evil","Universal",7130,-42,381,19,34992970,35,2016-11-24
"1020","Our Brand is Crisis","Warner Bros.",777,-34,48,16,7002261,49,2015-12-17
"1021","Our Kind of Traitor","Roadside Attractions",36,-80,3,12,3153157,77,2016-09-15
"1022","Out of the Furnace","Relativity",978,7,36,27,11330849,65,2014-02-06
"1023","Outside In","The Orchard",85,-15,1,85,68492,59,2018-05-27
"1024","Overboard","Lionsgate",30785,-23,193,160,50316123,63,2018-07-05
"1025","Oz the Great and Powerful","Walt Disney",66635,9,401,166,232613195,84,2013-05-30
"1026","P.K.","UTV Communications",1155088,-19,272,4247,3565258,3,2014-12-21
"1027","Paan Singh Tomar","UTV Communications",246,173,5,49,40311,21,2012-03-22
"1028","Pacific Rim","Warner Bros.",4283,10,52,82,101802906,98,2013-10-17
"1029","Pacific Rim: Uprising","Universal",4700,-24,112,42,59185715,56,2018-05-17
"1030","Paddington","Weinstein Co.",10695,-12,23,465,76223578,154,2015-06-18
"1031","Paddington 2","Warner Bros.",27021,2,281,96,40442052,63,2018-03-15
"1032","Padman","Sony Pictures",7621,-42,27,282,1662927,24,2018-03-04
"1033","Padmavati","Paramount Pictures",598409,-50,354,1690,8900499,11,2018-02-04
"1034","Pain & Gain","Paramount Pictures",75,-10,22,3,49875291,126,2013-08-29
"1035","Painted Woman","Amor Media",456,-64,3,152,4597,24,2017-12-03
"1036","Pan","Warner Bros.",1550,17,56,28,35088320,91,2016-01-07
"1037","Pandas","IMAX Films",16113,-29,35,460,2892597,101,2018-07-15
"1038","Panic","Rialto Pictures",254,-46,1,254,30762,21,2017-02-09
"1039","Papa: Hemingway in Cuba","Yari Film Group Rel…",30,30,2,15,1115615,49,2016-06-16
"1040","Paper Towns","20th Century Fox",4064,-3,149,27,31927510,63,2015-09-24
"1041","Papillon","Bleecker Street",82150,-29,544,151,1585045,7,2018-08-30
"1042","Paranoia","Relativity",3639,12,66,55,7388654,49,2013-10-03
"1043","Paranormal Activity 3","Paramount Pictures",6570,-10,124,53,104028807,77,2012-01-05
"1044","Paranormal Activity 4","Paramount Pictures",3794,-13,50,76,53900335,77,2013-01-03
"1045","Paranormal Activity: The Gh…","Paramount Pictures",25359,-7,361,70,18297124,33,2015-11-24
"1046","Paranormal Activity: The Ma…","Paramount Pictures",3117,NA,62,50,32462372,49,2014-02-20
"1047","ParaNorman","Focus Features",1929,-12,22,88,56003051,140,2013-01-03
"1048","Parchi","Atlas Distribution",58,-12,1,58,69431,28,2018-02-08
"1049","Parental Guidance","20th Century Fox",825,53,22,38,77267296,150,2013-05-23
"1050","Pariah","Focus Features",3129,2,19,165,769552,79,2012-03-15
"1051","Parker","FilmDistrict",1817,5,36,50,17616641,70,2013-04-04
"1052","Passengers","Sony Pictures",212,77,4,53,100014699,121,2017-04-20
"1053","Paterson","Bleecker Street",18597,10,64,291,1618199,58,2017-02-23
"1054","Patriots Day","Lionsgate",7354,NA,84,88,31886361,79,2017-03-09
"1055","Patti Cake$","Fox Searchlight",2926,-10,46,64,785063,35,2017-09-21
"1056","Paul Blart: Mall Cop 2","Sony Pictures",32607,-27,142,230,70717456,94,2015-07-19
"1057","Paul, Apostle of Christ","Sony Pictures",8037,-3,59,136,17547999,59,2018-05-20
"1058","Pawn Sacrifice","Bleecker Street",133,18,11,12,2436308,91,2015-12-15
"1059","Pawn Shop Chronicles","Anchor Bay Entertai…",751,1,15,50,8088,7,2013-07-18
"1060","Peeples","Lionsgate",13041,-8,130,100,9177065,35,2013-06-13
"1061","Penguins of Madagascar","20th Century Fox",905,-6,46,20,83301343,142,2015-04-16
"1062","People Like Us","Walt Disney",223219,-33,961,232,11194536,17,2012-07-15
"1063","Percy Jackson: Sea of Monsters","20th Century Fox",3650,NA,24,152,68552876,167,2014-01-20
"1064","Pete’s Dragon","Walt Disney",1302,31,52,25,76233151,126,2016-12-15
"1065","Peter Rabbit","Sony Pictures",7696,-4,61,126,115234093,122,2018-06-10
"1066","Phantom","UTV Communications",3187,-32,18,177,489812,17,2015-09-13
"1067","Phantom Boy","GKIDS",1024,-27,17,60,30987,24,2016-08-07
"1068","Phantom Thread","Focus Features",12125,9,92,132,20956300,88,2018-03-22
"1069","Phillauri","FIP",1694,-1,17,100,467596,21,2017-04-13
"1070","Philomena","Weinstein Co.",516,82,9,57,37709979,182,2014-05-22
"1071","Phoenix Forgotten","Entertainment Studi…",106,-39,3,35,3600146,56,2017-06-15
"1072","Pierrot le fou","Rialto Pictures",2760,-2,1,2760,7922,3111,2015-12-20
"1073","Pirates of the Caribbean: D…","Walt Disney",5806,2,115,50,172558876,119,2017-09-21
"1074","Pitch Perfect","Universal",400,-62,15,27,65001093,140,2013-02-14
"1075","Pitch Perfect 2","Universal",23560,6,248,95,183785415,77,2015-07-30
"1076","Pitch Perfect 3","Universal",5710,28,113,51,104897530,77,2018-03-08
"1077","Pixels","Sony Pictures",23466,44,115,204,78680918,101,2015-11-01
"1078","Planes: Fire and Rescue","Walt Disney",163995,12,960,171,56346629,35,2014-08-21
"1079","Playing for Keeps","FilmDistrict",794,23,23,35,13103272,77,2013-02-21
"1080","Point Break","Warner Bros.",2628,-3,61,43,28782481,63,2016-02-25
"1081","Poltergeist","20th Century Fox",6646,3,71,94,47363594,63,2015-07-23
"1082","Pompeii","Sony Pictures",41025,143,93,441,23169033,52,2014-04-13
"1083","Pope Francis—A Man of His…","Focus Features",520,NA,127,4,1928560,77,2018-08-02
"1084","Popstar: Never Stop Never S…","Universal",16905,-35,211,80,9496130,21,2016-06-23
"1085","Populaire","Weinstein Co.",841,-35,14,60,179091,49,2013-10-24
"1086","Poster Boys","Sony Pictures",1190,3,50,24,97049,14,2017-09-21
"1087","Power Rangers","Lionsgate",15730,13,157,100,85364450,70,2017-06-01
"1088","Prem Ratan Dhan Payo","Fox International",201639,-24,283,713,3961221,11,2015-11-22
"1089","Premam","Bluesky Cinemas",520,-16,5,104,825602,32,2016-11-06
"1090","Premium Rush","Sony Pictures",13432,-43,119,113,20275446,59,2012-10-21
"1091","Priceless","Roadside Attractions",102,-53,2,51,1499605,70,2016-12-22
"1092","Pride","CBS Films",8062,14,53,152,1403272,49,2014-11-13
"1093","Pride and Prejudice and Zom…","Sony Pictures",20808,-17,476,44,10818428,21,2016-02-25
"1094","Prisoners","Warner Bros.",8975,-7,203,44,61002302,77,2013-12-05
"1095","Professor Marston & The Won…","Annapurna Pictures",603,-46,10,60,1585362,40,2017-11-21
"1096","Project Almanac","Paramount Pictures",4565,19,71,64,22348241,56,2015-03-26
"1097","Project X","Warner Bros.",1769,-3,40,44,54731865,77,2012-05-17
"1098","Prometheus","20th Century Fox",2915,-9,34,86,126477084,105,2012-09-20
"1099","Promised Land","Focus Features",14128,16,134,105,7597898,28,2013-01-24
"1100","Proud Mary","Sony Pictures",6891,-41,47,147,20868638,52,2018-03-04
"1101","Providence","Main Street",358,-9,7,51,8182,7,2016-02-18
"1102","Pulling Strings","Lionsgate",2520,-5,76,33,5842961,49,2013-11-21
"1103","Puss in Boots","Paramount Pictures",6810,10,138,49,149260504,126,2012-03-01
"1104","Pyaar Ka Punchnama 2","Reliance Entertainment",8222,-9,22,374,222856,17,2015-11-01
"1105","Quartet","Weinstein Co.",1496,-21,29,52,18388357,167,2013-06-26
"1106","R.I.P.D.","Universal",6795,12,151,45,33618855,71,2013-09-26
"1107","Race","Focus Features",3797,1,90,42,19115191,63,2016-04-21
"1108","Race 2","UTV Communications",221,16,5,44,1579940,35,2013-02-28
"1109","Race 3","Yash Raj Films",471737,-25,314,1502,1690861,3,2018-06-17
"1110","Radio Dreams","Matson",311,371,2,156,27836,95,2017-08-21
"1111","Radio Free Albemuth","Freestyle Releasing",1083,8,10,108,8493,6,2014-07-02
"1112","Raees","ZeeTV",508925,-34,256,1988,2369469,5,2017-01-29
"1113","Raiders of the Lost Ark","Paramount Pictures",3782,55,40,95,225686079,11438,2012-10-04
"1114","Raja Natwarlal","UTV Communications",18645,-42,73,255,102314,4,2014-09-01
"1115","Rampage","Warner Bros.",15224,-8,114,134,99345950,105,2018-07-26
"1116","Rams","Cohen Media Group",423,NA,6,71,73278,28,2016-03-01
"1117","Ran","Rialto Pictures",4132,-7,1,4132,11462,11028,2016-02-28
"1118","Range 15","Tugg",1044,NA,1,1044,463397,4,2016-06-18
"1119","Rangrezz","UTV Communications",109,14,2,55,6108,10,2013-03-31
"1120","Rat Film","Cinema Guild",157,-58,2,79,33568,52,2017-11-05
"1121","Ratchet and Clank","Focus Features",6388,4,159,40,8813410,34,2016-06-01
"1122","Raw","Focus World",1595,-15,12,133,514870,56,2017-05-04
"1123","RBG","Magnolia Pictures",260000,NA,415,627,4776638,22,2018-05-25
"1124","Reaching for the Moon","Wolfe Releasing",435,-19,4,109,45502,28,2013-12-05
"1125","Ready Player One","Warner Bros.",13258,-21,138,96,137018455,99,2018-07-05
"1126","RED 2","Lionsgate",11480,11,168,68,53262560,92,2013-10-17
"1127","Red Dawn","Open Road",2231,21,56,40,44806783,93,2013-02-21
"1128","Red Sparrow","20th Century Fox",4512,11,130,35,46739507,63,2018-05-03
"1129","Red Tails","20th Century Fox",241,93,5,48,49876377,140,2012-06-07
"1130","Redemption","Roadside Attractions",510,2,4,128,36686,14,2013-07-11
"1131","Regression","Weinstein Co.",54,-24,2,27,55039,119,2016-02-25
"1132","Reparation","Red Dirt Pictures",2080,54,3,693,8752,7,2016-09-10
"1133","Repentance","Codeblack Entertain…",2173,-25,43,51,1189612,28,2014-03-27
"1134","Resident Evil: Retribution","Sony Pictures",17458,-23,91,192,42345531,59,2012-11-11
"1135","Resident Evil: The Final Ch…","Sony Pictures",6565,-55,17,386,26844692,59,2017-03-26
"1136","Return to Nuke 'Em High Vol…","Anchor Bay Entertai…",55,-66,1,55,4790,11,2014-01-20
"1137","Revelation Road 2","Freestyle Releasing",370,32,5,74,4871,7,2013-07-18
"1138","Revenge","Neon",1554,-1,9,173,99197,17,2018-05-27
"1139","Revenge of the Green Dragons","A24",2500,NA,2,1250,2500,1,2014-10-24
"1140","Ricki and the Flash","Sony Pictures",7736,-60,111,70,26762929,52,2015-09-27
"1141","Riddick","Universal",6285,1,156,40,42025135,56,2013-10-31
"1142","Ride Along","Universal",16895,19,179,94,134202565,91,2014-04-17
"1143","Ride Along 2","Universal",6380,-10,106,60,90862685,84,2016-04-07
"1144","Rififi","Rialto Pictures",88,-14,1,88,511166,23,2015-09-24
"1145","Rings","Paramount Pictures",6467,NA,116,56,27793018,49,2017-03-23
"1146","Rio 2","20th Century Fox",2573,-1,72,36,131492458,140,2014-08-28
"1147","Rise of the Guardians","Paramount Pictures",3023,7,89,34,103412758,142,2013-04-11
"1148","Risen","Sony Pictures",5442,-15,57,95,36732506,59,2016-04-17
"1149","Risk","Neon",52,44,2,26,200219,63,2017-07-06
"1150","Rob the Mob","Alchemy",11983,NA,13,922,174927,29,2014-04-18
"1151","RoboCop","Sony Pictures",53077,53,81,655,58607007,96,2014-05-18
"1152","Rock Dog","Lionsgate",4705,34,106,44,9420546,49,2017-04-13
"1153","Rock of Ages","Warner Bros.",2620,29,57,46,38518613,63,2012-08-16
"1154","Rock the Kasbah","Open Road",12150,100,189,64,3020665,35,2015-11-26
"1155","Rogue One: A Star Wars Story","Walt Disney",2112,98,43,49,532177324,140,2017-05-04
"1156","Roman J. Israel, Esq.","Sony Pictures",288,99,3,96,11962712,95,2018-02-19
"1157","Romeo & Juliet","Relativity",27,17,12,2,1162635,56,2013-12-05
"1158","Room","A24",35000,NA,4,8750,35000,1,2015-10-16
"1159","Rosewater","Open Road",3196,35,15,213,3128941,49,2015-01-01
"1160","Rough Night","Sony Pictures",1761,12,59,30,22105643,77,2017-08-31
"1161","Rowdy Rathore","UTV Communications",218,-23,2,109,777373,35,2012-07-05
"1162","Ruby Sparks","Fox Searchlight",1070,-12,15,71,2540106,93,2012-10-25
"1163","Rules Don’t Apply","20th Century Fox",1025,46,34,30,3652206,30,2016-12-22
"1164","Run All Night","Warner Bros.",4763,-10,155,31,26461644,56,2015-05-07
"1165","Runner Runner","20th Century Fox",644,-31,16,40,19316626,66,2013-12-08
"1166","Running for Grace","Blue Fox Entertainment",600,-44,5,120,87333,39,2018-08-26
"1167","Rush","Universal",9855,-16,131,75,26947624,63,2013-11-21
"1168","Saala Khadoos","UTV Communications",20004,-40,70,286,76931,3,2016-01-31
"1169","Sabotage","Open Road",2329,11,51,46,10508518,49,2014-05-15
"1170","Safe","Lionsgate",6148,13,76,81,17142080,56,2012-06-21
"1171","Safe Haven","Relativity",657,-4,36,18,71399120,106,2013-05-30
"1172","Safe House","Universal",8160,9,136,60,126181630,98,2012-05-17
"1173","Safety Not Guaranteed","FilmDistrict",702,25,18,39,4010957,133,2012-10-18
"1174","Salinger","Weinstein Co.",1890,18,16,118,583633,42,2013-10-17
"1175","Salmon Fishing in the Yemen","CBS Films",6362,25,60,106,9041540,90,2012-06-06
"1176","Same Kind of Different as Me","Pure Flix Entertain…",45,61,3,15,6423605,105,2018-02-01
"1177","Samson","Pure Flix Entertain…",84,-26,6,14,4719928,56,2018-04-12
"1178","San Andreas","Warner Bros.",1996,7,44,45,155190832,140,2015-10-15
"1179","Sanju","20th Century Fox",981,-3,6,164,7909317,49,2018-08-16
"1180","Saturday’s Warrior","Purdie Distribution",126,37,4,32,744046,203,2016-10-20
"1181","Satyagraha","UTV Communications",186,-37,2,93,738525,31,2013-09-29
"1182","Sausage Party","Sony Pictures",2638,27,37,71,97670358,84,2016-11-03
"1183","Savages","Universal",5300,8,82,65,47323100,63,2012-09-06
"1184","Saving Mr. Banks","Walt Disney",107020,7,1075,100,81454218,56,2014-02-06
"1185","Saw - 10th Anniversary","Lionsgate",31186,-21,2063,15,55968727,3661,2014-11-06
"1186","Scary Movie 5","Weinstein Co.",401,4,8,50,32015787,105,2013-07-25
"1187","Scouts Guide to the Zombie …","Paramount Pictures",10655,-32,403,26,3703046,21,2015-11-19
"1188","Sea of Trees","A24",442,8,2,221,2730,5,2016-08-30
"1189","Search Party","Focus World",288,-41,10,29,4571,7,2016-05-19
"1190","Searching","Sony Pictures",24502,-22,9,2722,508480,7,2018-08-30
"1191","Secret in Their Eyes","STX Entertainment",3391,19,62,55,20180155,56,2016-01-14
"1192","Seed: The Untold Story","Collective Eye",266,51,1,266,145443,137,2017-01-05
"1193","Seeking a Friend for the En…","Focus Features",81217,-40,621,131,7078738,14,2012-07-05
"1194","Seeking Justice","Anchor Bay Entertai…",430,-13,8,54,411746,19,2012-04-03
"1195","Seethamma Vakitlo Sirimalle…","Ficus",280813,NA,89,3155,280813,1,2013-01-10
"1196","Self/Less","Focus Features",742,31,21,35,12279691,49,2015-08-27
"1197","Selma","Paramount Pictures",4215,87,67,63,52076908,113,2015-04-16
"1198","Seoul Searching","Mondo Paradiso Films",1351,-28,1,1351,8966,3,2016-06-19
"1199","Served Like a Girl","Entertainment Studi…",15,88,1,15,8290,28,2017-09-21
"1200","Settai","UTV Communications",98,23,1,98,87838,28,2013-05-02
"1201","Seven Psychopaths","CBS Films",7545,-7,100,75,15024049,70,2012-12-20
"1202","Seventh Son","Universal",10440,-14,116,90,17223265,42,2015-03-19
"1203","Sex Tape","Sony Pictures",19521,-53,111,176,38029974,38,2014-08-24
"1204","Sgt. Stubby: An American Hero","Fun Academy Motion …",4527,-1,30,151,3054285,38,2018-05-20
"1205","Shaandaar","Fox International",95718,-39,136,704,433541,4,2015-10-25
"1206","Shame","Fox Searchlight",401,-6,7,57,4002293,147,2012-04-26
"1207","Shanghai","Weinstein Co.",224,-53,11,20,46425,14,2015-10-15
"1208","Shaun the Sheep","Lionsgate",1514,18,76,20,19375982,79,2015-10-22
"1209","She's Funny That Way","Lionsgate",14000,NA,27,519,14000,1,2015-08-21
"1210","Sherlock Gnomes","Paramount Pictures",25784,-4,210,123,43242871,84,2018-06-14
"1211","Sherlock Holmes: A Game of …","Warner Bros.",5681,39,55,103,186848418,112,2012-04-05
"1212","Shin Godzilla","FUNimation",686,-38,4,172,1908028,27,2016-11-06
"1213","Short Term 12","Cinedigm",2157,NA,4,539,1007582,112,2013-12-12
"1214","Show Dogs","Global Road",6788,-27,83,82,17744685,70,2018-07-26
"1215","Shut In","EuropaCorp",2497,-20,15,166,6900335,53,2017-01-02
"1216","Shut Up and Play the Hits","Oscilloscope Pictures",345000,NA,160,2156,345000,1,2012-07-18
"1217","Sicario","Lionsgate",3391,-5,53,64,46889293,119,2016-01-14
"1218","Sicario: Day of the Soldado","Sony Pictures",5438,7,66,82,49953828,63,2018-08-30
"1219","Side Effects","Open Road",4465,-5,108,41,32172757,98,2013-05-16
"1220","Silence","Paramount Pictures",7040,NA,72,98,7100177,63,2017-02-23
"1221","Silent Hill: Revelation 3D","Open Road",5435,61,45,121,17530219,51,2012-12-15
"1222","Silent House","Open Road",1164,50,22,53,12739737,54,2012-05-01
"1223","Silent Night","Anchor Bay Entertai…",1246,16,11,113,14568,7,2012-12-06
"1224","Silver Linings Playbook","Weinstein Co.",1047,-9,35,30,132092958,203,2013-06-06
"1225","Sin City: A Dame to Kill For","Weinstein Co.",1734,48,23,75,13757804,49,2014-10-09
"1226","Sing","Universal",1650,12,188,9,270329045,135,2017-05-04
"1227","Sing Street","Weinstein Co.",889,NA,14,64,3237118,105,2016-07-28
"1228","Singham Returns","Eros Entertainment",2e+05,NA,127,1575,2e+05,1,2014-08-15
"1229","Sinister","Lionsgate",7046,-8,82,86,48086903,84,2013-01-03
"1230","Sinister 2","Focus Features",1072,15,31,35,27740955,70,2015-10-29
"1231","Sisters","Universal",3405,3,64,53,87044645,84,2016-03-10
"1232","Skyfall","Sony Pictures",10165,-49,69,147,304360277,123,2013-03-10
"1233","Skyscraper","Universal",17010,-6,260,65,67204975,49,2018-08-30
"1234","Slamma Jamma","Riverrain",6e+05,-2,502,1195,1687000,3,2017-03-26
"1235","Sleepless","Open Road",6616,5,101,66,20783704,56,2017-03-09
"1236","Sleight","High Top Releasing",2245,-35,49,46,3930990,35,2017-06-01
"1237","Slender Man","Sony Pictures",180139,-14,2065,87,26359809,21,2018-08-30
"1238","Smurfs: The Lost Village","Sony Pictures",1954,-29,27,72,45020282,119,2017-08-03
"1239","Snatched","20th Century Fox",1147,28,21,55,45847354,77,2017-07-27
"1240","Snitch","Lionsgate",3873,NA,93,42,42930462,98,2013-05-30
"1241","Snow White and the Huntsman","Universal",8495,8,143,59,155136755,98,2012-09-06
"1242","Snowden","Open Road",5910,NA,83,71,21587519,63,2016-11-17
"1243","Soldiers of Fortune","Roadside Attractions",42,200,2,21,38898,12,2012-08-14
"1244","Solo: A Star Wars Story","Walt Disney",8076,2,118,68,213625230,98,2018-08-30
"1245","Something From Nothing: The…","Indomina Releasing",403,-64,1,403,288312,17,2012-07-01
"1246","Somewhere Only We Know","China Lion Film Dis…",1e+05,NA,45,2222,1e+05,1,2015-02-13
"1247","Son of a Gun","A24",1000,NA,14,71,1411,1,2015-01-23
"1248","Son of God","20th Century Fox",1118,NA,21,53,59690088,88,2014-05-26
"1249","Soorma","Sony Pictures",6329,-12,18,352,382104,17,2018-07-29
"1250","Sorry to Bother You","Annapurna Pictures",20969,-6,88,238,16690613,56,2018-08-30
"1251","Sound City","Variance Films",120514,NA,50,2410,120514,367,2013-01-31
"1252","Sound of My Voice","Fox Searchlight",394,-45,6,66,408015,63,2012-06-28
"1253","Southpaw","Weinstein Co.",785,17,18,44,52421953,105,2015-11-05
"1254","Southside with You","Roadside Attractions",107,-12,4,27,6304223,70,2016-11-03
"1255","Spare Parts","Lionsgate",5123,14,63,81,3618912,49,2015-03-05
"1256","Spark: A Space Tail","Open Road",571,-50,85,7,196458,14,2017-04-27
"1257","Sparkle","Sony Pictures",24740,-48,220,112,24397469,45,2012-09-30
"1258","Spectre","Sony Pictures",4600,NA,5,920,200074175,150,2016-04-03
"1259","Spices of Liberty","Hannover House",233,-92,2,117,13463,140,2017-03-12
"1260","Spider-Man: Homecoming","Sony Pictures",2986,-55,37,81,334198153,143,2017-11-26
"1261","Spinning Plates","Film Arcade",3243,NA,6,541,99127,45,2013-12-08
"1262","Spirit of the Game","Pure Flix / Samuel …",159,-94,13,12,222565,38,2016-11-13
"1263","Split","Universal",4730,-35,103,46,138141585,105,2017-05-04
"1264","Spotlight","Open Road",15434,-17,224,69,45055776,182,2016-05-05
"1265","Spring Breakers","A24",192,-40,5,38,14124286,89,2013-06-11
"1266","Spy!","20th Century Fox",6001,24,106,57,110769788,112,2015-09-24
"1267","St. Vincent","Weinstein Co.",815,27,18,45,44137712,147,2015-03-05
"1268","Stage Fright","Magnolia Pictures",137,NA,16,9,6830,18,2014-05-26
"1269","Stalingrad","Sony Pictures Classics",594,7,10,59,1013945,38,2014-04-06
"1270","Stand Up Guys","Roadside Attractions",2640,20,17,155,3310031,84,2013-03-07
"1271","Star Trek Beyond","Paramount Pictures",12871,54,151,85,158848340,91,2016-10-20
"1272","Star Trek Into Darkness","Paramount Pictures",5211,1,106,49,228778661,119,2013-09-12
"1273","Star Wars Ep. VII: The Forc…","Walt Disney",32555,31,346,94,935642689,119,2016-04-14
"1274","Star Wars Ep. VIII: The Las…","Walt Disney",854,57,28,31,620181382,126,2018-04-19
"1275","Star Wars: The Phantom Mena…","20th Century Fox",250,NA,1,250,474544677,4757,2012-05-26
"1276","Starless Dreams","Cinema Guild",112,-21,1,112,2208,17,2017-02-05
"1277","Stations of the Elevated","APD/Cinema Conservancy",516,NA,1,516,28516,20,2014-11-05
"1278","Step","Fox Searchlight",3998,1,42,95,1081116,35,2017-09-07
"1279","Step Up All In","Lionsgate",1508,-13,65,23,14904384,56,2014-10-02
"1280","Step Up Revolution","Lionsgate",4234,1,110,38,35074677,70,2012-10-04
"1281","Steve Jobs","Universal",3615,-13,52,70,17766658,63,2015-12-10
"1282","Steve Jobs: The Man in the …","Magnolia Pictures",24000,NA,30,800,24000,1,2015-09-04
"1283","Still Alice","Sony Pictures Classics",750000,NA,1318,569,10049000,43,2015-02-27
"1284","Stoker","Fox Searchlight",205,1,7,29,1703125,70,2013-05-09
"1285","Stonewall","Roadside Attractions",165,-15,3,55,187674,21,2015-10-15
"1286","Stories We Tell","Roadside Attractions",232,-37,2,116,1600145,154,2013-10-10
"1287","Storks","Warner Bros.",5373,-5,152,35,72679278,112,2017-01-12
"1288","Straight Outta Compton","Universal",7385,-7,113,65,161058685,70,2015-10-22
"1289","Strange Magic","Walt Disney",13451,12,175,77,11937516,28,2015-02-19
"1290","Strangerland","Alchemy",5439,-23,22,247,17472,3,2015-07-12
"1291","Stronger","Roadside Attractions",348,-24,8,44,4211129,70,2017-11-30
"1292","Struck by Lightning","TriBeca Films",9990,NA,1,9990,9990,1,2013-01-06
"1293","Suburbicon","Paramount Pictures",6772,-35,281,24,5775178,21,2017-11-16
"1294","Suffragette","Focus Features",2387,-15,21,114,4702420,84,2016-01-14
"1295","Suicide Squad","Warner Bros.",23214,48,245,95,325100054,98,2016-11-10
"1296","Sully","Warner Bros.",1232,37,28,44,125070033,140,2017-01-26
"1297","Sultan","Yash Raj Films",52000,-33,274,190,5599781,16,2016-07-21
"1298","Summer of 67","Self Distributed",115,10,1,115,8492,35,2018-08-02
"1299","Super Dark Times","The Orchard",78,388,1,78,33109,30,2017-10-28
"1300","Super Troopers 2","20th Century Fox",550,-23,21,26,30609330,77,2018-07-05
"1301","Superfly","Sony Pictures",4773,-25,37,129,20537137,54,2018-08-05
"1302","Swiss Army Man","A24",888,-36,7,127,4183628,68,2016-08-30
"1303","T2: Trainspotting","Sony Pictures",11516,-25,67,172,2289243,45,2017-04-30
"1304","Table 19","Fox Searchlight",2003,-4,33,61,3600071,28,2017-03-30
"1305","Tag","Warner Bros.",5193,18,102,51,54451844,77,2018-08-30
"1306","Take Me","The Orchard",498,-58,2,249,2583,3,2017-05-07
"1307","Taken 2","20th Century Fox",503,39,16,31,139854287,140,2013-02-21
"1308","Taken 3","20th Century Fox",2125,18,49,43,89179222,105,2015-04-23
"1309","Tales of Hoffmann","Rialto Pictures",282,NA,1,282,91383,91,2015-06-11
"1310","Talvar","Reliance Entertainment",108,38,2,54,342370,31,2015-11-01
"1311","Tamasha","UTV Communications",17074,-9,165,103,2065487,16,2015-12-10
"1312","Tammy","Warner Bros.",2144,20,48,45,84525432,107,2014-10-16
"1313","Tangerines","Samuel Goldwyn Films",814,NA,1,814,7528,6,2015-04-22
"1314","Tanna","Lightyear Entertain…",1626,-22,2,813,5711,3,2016-09-18
"1315","Tasting Menu","Magnolia Pictures",372,NA,1,372,15243,39,2014-05-26
"1316","Te3n","Reliance Entertainment",74412,-33,104,716,258066,3,2016-06-12
"1317","Ted","Universal",8175,-6,109,75,218665740,119,2012-10-25
"1318","Ted 2","Universal",5950,-23,119,50,81284830,63,2015-08-27
"1319","Teen Titans Go! To The Movies","Warner Bros.",42787,-20,444,96,28400469,35,2018-08-30
"1320","Teenage Mutant Ninja Turtle…","Paramount Pictures",1598,3,53,30,82051601,98,2016-09-08
"1321","Teenage Mutant Ninja Turtles","Paramount Pictures",9876,-3,207,48,191204754,105,2014-11-20
"1322","Tere Naal Love Ho Gaya","UTV Communications",113,57,3,38,177743,27,2012-03-21
"1323","Term Life","Focus World",1590,-18,50,32,21256,7,2016-05-05
"1324","Terminator: Genisys","Paramount Pictures",6402,-9,138,46,89760956,79,2015-09-17
"1325","Testament of Youth","Sony Pictures Classics",13900,NA,4,3475,13900,1,2015-06-05
"1326","Texas Chainsaw 3D","Lionsgate",1913,5,44,43,34341945,56,2013-02-28
"1327","Thaandavam","UTV Communications",165,11,2,83,213476,28,2012-10-25
"1328","Thank You for Your Service","Universal",6085,4,172,35,9479390,28,2017-11-23
"1329","Thanks for Sharing","Roadside Attractions",1526,20,11,139,1065881,42,2013-10-31
"1330","That Awkward Moment","FilmDistrict",5477,17,68,81,26068955,63,2014-04-03
"1331","That's My Boy","Sony Pictures",17004,-45,84,202,36931089,38,2012-07-22
"1332","The 15:17 to Paris","Warner Bros.",3331,15,81,41,36250957,63,2018-04-12
"1333","The 33","Warner Bros.",1361,18,34,40,12227722,70,2016-01-21
"1334","The 5th Wave","Sony Pictures",17631,-37,99,178,34650223,87,2016-04-17
"1335","The Accountant","Warner Bros.",16576,13,181,92,86260045,91,2017-01-12
"1336","The Adventures of Tintin","Paramount Pictures",6831,-17,123,56,77591831,93,2012-03-22
"1337","The Age of Adaline","Lionsgate",11300,17,93,122,42629776,77,2015-07-09
"1338","The Amazing Spider-Man","Sony Pictures",11761,-51,73,161,262030663,104,2012-10-14
"1339","The Amazing Spider-Man 2","Sony Pictures",11826,-22,77,154,202225986,108,2014-08-17
"1340","The Angry Birds Movie","Sony Pictures",5064,-31,45,113,107483144,101,2016-08-28
"1341","The Apparition","Warner Bros.",1426,9,38,38,4936819,49,2012-10-11
"1342","The Art of the Steal","RADiUS-TWC",3363,-35,60,56,57516,7,2014-03-20
"1343","The Artist","Weinstein Co.",208580,NA,1505,139,41065419,112,2012-03-15
"1344","The Attack","Cohen Media Group",24276,NA,41,592,234004,13,2013-07-03
"1345","The Avengers","Walt Disney",163107,-60,1209,135,621414627,129,2012-09-09
"1346","The Avengers: Age of Ultron","Walt Disney",468050,633,292,1603,455998418,78,2015-07-17
