"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"246","Blue Ruin","RADiUS-TWC",46,-15,1,46,258384,63,2014-06-26
"247","Book Club","Paramount Pictures",8048,-12,91,88,68566296,84,2018-08-09
"248","Borg vs McEnroe","Neon",8237,-37,23,358,113354,10,2018-04-22
"249","Born in China","Walt Disney",3239,59,43,75,13873211,77,2017-07-06
"250","Born to be Wild 3D","Warner Bros.",3255,-78,30,109,21927599,676,2013-02-11
"251","Boyhood","IFC Films",105526,-2,632,167,19321777,56,2014-09-04
"252","BPM (Beats per Minute)","The Orchard",92,-58,2,46,125189,161,2018-03-29
"253","Brad’s Status","Annapurna Pictures",906,-7,17,53,2133158,42,2017-10-26
"254","Branded","Roadside Attractions",40,700,1,40,353513,27,2012-10-03
"255","Brave","Walt Disney",216376,-41,959,226,233397964,80,2012-09-09
"256","Breaking In","Universal",8700,-28,92,95,46383120,63,2018-07-12
"257","Breathe","Bleecker Street",907,85,3,302,489322,59,2017-12-10
"258","Brick Mansions","Relativity",14891,84,31,480,20396829,70,2014-07-03
"259","Bridge of Spies","Walt Disney",62294,-6,536,116,68860514,56,2015-12-10
"260","Bridget Jones’s Baby","Universal",11795,-12,132,89,24139805,49,2016-11-03
"261","BRO'","",50,-83,1,50,9329,11,2012-07-02
"262","Broken City","20th Century Fox",2091,-13,16,131,19701164,77,2013-04-04
"263","Brooklyn","Fox Searchlight",4452,3,50,89,38219804,163,2016-04-14
"264","Brotherly Love","Freestyle Releasing",336,91,6,56,478595,35,2015-05-28
"265","Brothers: Blood Against Blood","Fox International",39703,-63,164,242,397107,4,2015-08-17
"266","Buen dia Ramon","20th Century Fox",15758,2,24,657,100412,10,2015-02-08
"267","Bullet to the Head","Warner Bros.",1595,19,34,47,9489829,42,2013-03-14
"268","Bully","Weinstein Co.",56556,NA,158,358,1024611,21,2012-04-19
"269","Burning Bush","",1251,NA,1,1251,21978,50,2014-07-30
"270","Burnt","Weinstein Co.",313,34,13,24,13651946,105,2016-02-11
"271","Busco Novio Para Mi Mujer","Lionsgate",3004,-23,39,77,1741889,28,2016-03-17
"272","By the Sea","Universal",1672,-6,32,52,538460,28,2015-12-10
"273","C.O.G.","Screen Media Films",83,-48,1,83,55301,24,2013-10-13
"274","Café Society","Lionsgate",6109,-3,64,95,11103205,84,2016-10-06
"275","Caged No More","Freestyle Releasing",29,38,1,29,114959,3,2016-02-11
"276","Cake","Cinelou Releasing",2907,19,34,86,1951776,28,2015-02-19
"277","Call Me by Your Name","Sony Pictures Classics",161000,NA,4,40250,161000,1,2017-11-24
"278","Calling All Earthlings","Carpe Stella",1620,NA,2,810,6756,34,2018-08-01
"279","Calvary","Fox Searchlight",4133,40,23,180,3586375,70,2014-10-09
"280","Camp","",60,-12,1,60,324976,122,2013-06-23
"281","Cantinflas","Lionsgate",2454,2,63,39,6382924,49,2014-10-16
"282","Captain America: Civil War","Walt Disney",993,4,34,29,408084349,140,2016-09-22
"283","Captain America: The Winter…","Walt Disney",62484,-9,539,116,255447104,63,2014-06-05
"284","Captain Fantastic","Bleecker Street",1326,-15,17,78,5879835,112,2016-10-27
