"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"6821",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"6823",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"6825",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"6827",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"6829",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"6831",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"6833",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"6835",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"6837",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"6839",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"6841",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"6843",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"6845",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"6847",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"6849",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"6851",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"6853",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"6855",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"6857",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"6859",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"6861",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"6863",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"6865",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"6867",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"6869",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"6871",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"6873",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"6875",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"6877",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"6879",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"6881",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"6883",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"6885",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"6887",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"6889",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"6891",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"6893",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"6895",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"6897",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"6899",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"6901",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"6903",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"6905",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"6907",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"6909",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"6911",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"6913",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"6915",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"6917",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"6919",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"6921",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"6923",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"6925",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"6927",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"6929",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"6931",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"6933",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"6935",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
