"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"8511",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"8513",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"8515",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"8517",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"8519",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"8521",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"8523",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"8525",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"8527",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"8529",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"8531",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"8533",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"8535",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"8537",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"8539",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"8541",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"8543",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"8545",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"8547",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"8549",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"8551",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"8553",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"8555",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"8557",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"8559",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"8561",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"8563",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"8565",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"8567",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"8569",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"8571",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"8573",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"8575",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"8577",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"8579",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"8581",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"8583",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"8585",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"8587",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"8589",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"8591",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"8593",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"8595",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"8597",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"8599",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"8601",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"8603",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"8605",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"8607",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"8609",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"8611",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"8613",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"8615",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"8617",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"8619",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"8621",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"8623",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"8625",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"8627",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"8629",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"8631",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"8633",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"8635",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"8637",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"8639",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"8641",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"8643",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"8645",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"8647",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"8649",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"8651",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"8653",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"8655",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"8657",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"8659",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"8661",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"8663",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"8665",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"8667",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"8669",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"8671",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"8673",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"8675",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"8677",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"8679",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"8681",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"8683",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"8685",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"8687",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"8689",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"8691",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"8693",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"8695",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"8697",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"8699",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"8701",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"8703",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"8705",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"8707",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"8709",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"8711",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"8713",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"8715",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"8717",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"8719",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"8721",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"8723",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"8725",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"8727",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"8729",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"8731",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"8733",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"8735",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"8737",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"8739",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"8741",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"8743",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"8745",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"8747",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"8749",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"8751",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"8753",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"8755",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"8757",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"8759",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"8761",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"8763",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"8765",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"8767",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"8769",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"8771",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"8773",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"8775",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"8777",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"8779",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"8781",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"8783",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"8785",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"8787",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"8789",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"8791",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"8793",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"8795",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"8797",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"8799",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"8801",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"8803",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"8805",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"8807",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"8809",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"8811",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"8813",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"8815",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"8817",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"8819",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"8821",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"8823",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"8825",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"8827",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"8829",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"8831",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"8833",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"8835",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"8837",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"8839",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"8841",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"8843",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"8845",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"8847",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"8849",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"8851",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"8853",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"8855",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"8857",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"8859",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"8861",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"8863",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"8865",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"8867",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"8869",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"8871",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"8873",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"8875",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"8877",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"8879",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"8881",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"8883",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"8885",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"8887",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"8889",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"8891",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"8893",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"8895",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"8897",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"8899",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"8901",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"8903",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"8905",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"8907",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"8909",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"8911",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"8913",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"8915",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"8917",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"8919",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"8921",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"8923",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"8925",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"8927",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"8929",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"8931",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"8933",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"8935",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"8937",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"8939",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"8941",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"8943",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"8945",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"8947",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"8949",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"8951",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"8953",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"8955",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"8957",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"8959",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"8961",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"8963",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"8965",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"8967",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"8969",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"8971",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"8973",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"8975",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"8977",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"8979",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"8981",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"8983",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"8985",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"8987",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"8989",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"8991",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"8993",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"8995",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"8997",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"8999",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"9001",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"9003",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"9005",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"9007",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"9009",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"9011",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"9013",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"9015",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"9017",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"9019",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"9021",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"9023",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"9025",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"9027",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"9029",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"9031",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"9033",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"9035",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"9037",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"9039",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"9041",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"9043",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"9045",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"9047",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"9049",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"9051",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"9053",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"9055",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"9057",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"9059",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"9061",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"9063",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"9065",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"9067",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"9069",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"9071",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"9073",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"9075",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"9077",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"9079",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"9081",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"9083",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"9085",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"9087",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"9089",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"9091",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"9093",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"9095",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"9097",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"9099",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"9101",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"9103",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"9105",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"9107",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"9109",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"9111",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"9113",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"9115",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"9117",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"9119",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"9121",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"9123",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"9125",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"9127",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"9129",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"9131",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"9133",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"9135",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"9137",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"9139",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"9141",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"9143",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
